elctricity,gsdp,litracy,infant,telephone,expenditure,sex ratio,poverty
1,0.006017848716726,0.68985,0.39,0.7952,0.738905212,0.9962,13.6
0.7551,0.012234518810224,0.68705,0.3,0.6997,0.057700946,0.9257,30.8
0.9615,0.006063017239745,0.74872,0.49,0.4874,0.146532421,0.9606,30.8
0.9484,0.003179613816422,0.6624,0.42,0.461,0.504557582,0.9145,47.5
0.9737,0.008204172412985,0.71966,0.43,0.1159,0.185251886,0.9913,37.2
1,0.020788695652174,0.90707,0.1,0.9054,0.037887538,0.9704,5.5
0.9981,0.014557477221998,0.80697,0.35,0.8144,0.829168918,0.9171,20.2
1,0.016098830797578,0.77842,0.36,1.0559,0.198174885,0.8818,11
0.9991,0.014635923160585,0.84696,0.32,0.668,0.110286502,0.9752,8.2
0.9824,0.007400406084213,0.70652,0.34,0.1159,0.136522853,0.8779,14
0.8922,0.006279454022989,0.70265,0.34,0.9245,0.186658505,0.9488,43.6
0.9995,0.014358701282985,0.78001,0.29,0.9619,0.60393814,0.9692,18.1
1,0.015141195762468,0.94942,0.12,0.5604,0.25003912,1.0918,2.6
0.978,0.006293348694553,0.70994,0.52,0.7732,0.559900934,0.9457,38.3
0.9991,0.015198628669609,0.83978,0.22,0.6997,0.898553417,0.933,16.9
0.8626,0.006361189229748,0.7882,0.11,0.6997,0.040923393,0.9259,30.8
0.8627,0.007349947430557,0.77991,0.46,0.6997,0.03544467,0.9897,30.8
0.952,0.011732559141339,0.92089,0.32,0.6997,0.020233874,0.9893,30.8
0.7011,0.009304241831206,0.83503,0.14,0.6997,0.041562817,0.9861,30.8
0.8189,0.007220951516029,0.75833,0.49,0.609,0.295878926,0.9376,34.8
1,0.012372891986063,0.77697,0.24,1.0722,0.169303726,0.9798,6.6
0.9817,0.008519189457579,0.6782,0.46,0.7539,0.523232298,0.8987,27.3
1,0.024555969983925,0.85203,0.19,0.6997,0.028455477,0.9272,30.8
1,0.014274352132992,0.82082,0.2,1.1114,0.685796184,0.8932,8.4
0.9301,0.01359809139785,0.593,0.39,0.7952,0.738905212,0.9977,12.6
0.9889,0.007741735717437,0.91429,0.21,0.6997,0.052809299,0.9643,30.8
0.9889,0.004826324993939,0.71103,0.48,0.5727,1.198164471,0.911,37.6
0.9893,0.015222845392981,0.8098,0.33,0.5046,0.149353259,0.9627,15.6
0.9999,0.007583851117791,0.78546,0.28,0.5513,0.47045255,0.9509,24.5
1,0.005376552013969,0.6833,0.39,0.7719,0.752519982,0.9948,12.1
0.7551,0.010129439523335,0.676,0.24,0.6778,0.044110098,0.9238,30
0.9615,0.005584962137919,0.73978,0.54,0.4651,0.129762468,0.9584,30
0.9418,0.002969398195997,0.6476,0.42,0.4572,0.414849431,0.915,42.9
0.9715,0.007810521837401,0.71404,0.46,0.106063232,0.220854723,0.9912,38.1
1,0.022450625,0.90038,0.09,0.8723,0.03616768,0.9696,5.3
0.9981,0.01295494328463,0.79808,0.36,0.7644,0.805550771,0.9174,19
1,0.014961188548222,0.77078,0.41,1.0539,0.237537994,0.8802,11.1
0.9991,0.013513929383886,0.84064,0.35,0.5857,0.127781718,0.9748,8.1
0.9824,0.007330130835541,0.69488,0.37,0.106063232,0.187459473,0.8796,12.8
0.8922,0.005546088235294,0.6898,0.37,0.9124,0.197061522,0.9482,41.4
0.9995,0.013002196808387,0.77124,0.31,0.9609,0.571538613,0.9688,19
1,0.013800495850536,0.94628,0.12,0.5355,0.240445795,1.0892,4.1
0.9759,0.005856645103962,0.70436,0.54,0.7397,0.577754981,0.9458,36.1
0.9991,0.01428302078502,0.83432,0.24,0.6778,0.716718451,0.932,17.1
0.8626,0.005764439811297,0.7818,0.1,0.6778,0.047187606,0.9256,30
0.8627,0.007410110494575,0.76804,0.47,0.6778,0.031629798,0.9888,30
0.9619,0.0090985528943,0.91836,0.35,0.6778,0.023263256,0.9882,30
0.7011,0.008395549449089,0.82202,0.18,0.6778,0.044825791,0.9824,30
0.789,0.006895529221442,0.74852,0.51,0.6021,0.253801362,0.9354,34
1,0.011820177935943,0.77078,0.26,1.03,0.142106833,0.9792,7.2
0.9753,0.007896222692951,0.6725,0.47,0.7085,0.501016548,0.8968,23.1
1,0.022327626918916,0.83942,0.22,0.6778,0.025851908,0.9268,30
1,0.013062740607622,0.81418,0.21,1.0817,0.684691546,0.8918,9.3
0.9289,0.012372054794521,0.6833,0.39,0.7719,0.752519982,0.9968,8.4
0.8892,0.006794248709483,0.90026,0.26,0.6778,0.05106974,0.9632,30
0.8892,0.004558482895847,0.69962,0.5,0.5683,0.928643758,0.91,34.9
0.9893,0.014275997745474,0.8026,0.32,0.35091888,0.147928346,0.9628,14.2
0.9999,0.007233366806514,0.77784,0.31,0.5418,0.372808173,0.9496,23
